MPI Parallel Words Count
Number of Porcesses 4 
Rank 0 (MASTER)

Number of files: 1
Total size of files: 838831.00 bytes
Single split size: 209707.000000 bytes


Global Histogram

Word: people                   - Count: 122
Word: could                    - Count: 330
Word: look                     - Count: 91
Word: into                     - Count: 342
Word: arms                     - Count: 35
Word: length                   - Count: 3
Word: away                     - Count: 97
Word: Science                  - Count: 4
Word: has                      - Count: 27
Word: eliminated               - Count: 1
Word: distance                 - Count: 6
Word: short                    - Count: 49
Word: will                     - Count: 64
Word: able                     - Count: 47
Word: is                       - Count: 108
Word: happening                - Count: 5
Word: any                      - Count: 204
Word: place                    - Count: 85
Word: without                  - Count: 249
Word: leaving                  - Count: 23
Word: burning                  - Count: 21
Word: noonday                  - Count: 2
Word: sun                      - Count: 34
Word: out                      - Count: 399
Word: startling                - Count: 6
Word: gigantic                 - Count: 7
Word: pile                     - Count: 5
Word: dry                      - Count: 20
Word: hay                      - Count: 2
Word: middle                   - Count: 22
Word: street                   - Count: 74
Word: fire                     - Count: 28
Word: by                       - Count: 795
Word: concentrating            - Count: 2
Word: suns                     - Count: 5
Word: rays                     - Count: 4
Word: still                    - Count: 145
Word: consoled                 - Count: 5
Word: failure                  - Count: 9
Word: big                      - Count: 9
Word: magnets                  - Count: 2
Word: conceived                - Count: 19
Word: using                    - Count: 11
Word: weapon                   - Count: 5
Word: war                      - Count: 141
Word: Again                    - Count: 123
Word: tried                    - Count: 97
Word: finally                  - Count: 66
Word: accepted                 - Count: 17
Word: three                    - Count: 125
Word: colonial                 - Count: 6
Word: coins                    - Count: 14
Word: exchange                 - Count: 9
Word: wept                     - Count: 12
Word: consternation            - Count: 10
Word: money                    - Count: 43
Word: chest                    - Count: 22
Word: ova                      - Count: 1
Word: entire                   - Count: 8
Word: privation                - Count: 1
Word: she                      - Count: 1984
Word: buried                   - Count: 27
Word: underneath               - Count: 10
Word: hopes                    - Count: 8
Word: proper                   - Count: 7
Word: occasion                 - Count: 43
Word: made                     - Count: 209
Word: no                       - Count: 319
Word: tempt                    - Count: 1
Word: console                  - Count: 3
Word: completely               - Count: 26
Word: absorbed                 - Count: 15
Word: tactical                 - Count: 2
Word: experiments              - Count: 5
Word: abnegation               - Count: 2
Word: scientist                - Count: 1
Word: risk                     - Count: 4
Word: attempt                  - Count: 20
Word: show                     - Count: 28
Word: effects                  - Count: 2
Word: enemy                    - Count: 9
Word: troops                   - Count: 8
Word: exposed                  - Count: 4
Word: concentration            - Count: 5
Word: suffered                 - Count: 15
Word: burns                    - Count: 3
Word: turned                   - Count: 60
Word: sores                    - Count: 12
Word: heal                     - Count: 1
Word: Over                     - Count: 207
Word: protests                 - Count: 5
Word: alarmed                  - Count: 10
Word: such                     - Count: 106
Word: dangerous                - Count: 10
Word: ready                    - Count: 30
Word: spend                    - Count: 25
Word: hours                    - Count: 75
Word: room                     - Count: 208
Word: calculating              - Count: 2
Word: strategic                - Count: 2
Word: possibilities            - Count: 6
Word: novel                    - Count: 3
Word: until                    - Count: 204
Word: putting                  - Count: 22
Word: manual                   - Count: 3
Word: instructional            - Count: 1
Word: clarity                  - Count: 4
Word: irresistible             - Count: 9
Word: power                    - Count: 26
Word: conviction               - Count: 6
Word: sent                     - Count: 47
Word: government               - Count: 40
Word: accompanied              - Count: 7
Word: numerous                 - Count: 7
Word: descriptions             - Count: 2
Word: pages                    - Count: 11
Word: explanatory              - Count: 1
Word: sketches                 - Count: 4
Word: messenger                - Count: 7
Word: crossed                  - Count: 19
Word: mountains                - Count: 13
Word: got                      - Count: 65
Word: measureless              - Count: 3
Word: swamps                   - Count: 3
Word: forded                   - Count: 1
Word: stormy                   - Count: 3
Word: rivers                   - Count: 2
Word: perishing                - Count: 1
Word: under                    - Count: 101
Word: lash                     - Count: 2
Word: despair                  - Count: 4
Word: plague                   - Count: 16
Word: wild                     - Count: 27
Word: beasts                   - Count: 1
Word: route                    - Count: 13
Word: joined                   - Count: 4
Word: used                     - Count: 37
Word: mules                    - Count: 5
Word: carried                  - Count: 44
Word: mail                     - Count: 15
Word: spite                    - Count: 50
Word: fact                     - Count: 51
Word: trip                     - Count: 19
Word: capital                  - Count: 12
Word: little                   - Count: 147
Word: less                     - Count: 37
Word: than                     - Count: 192
Word: impossible               - Count: 19
Word: promised                 - Count: 28
Word: undertake                - Count: 4
Word: ordered                  - Count: 30
Word: some                     - Count: 130
Word: practical                - Count: 6
Word: demonstrations           - Count: 3
Word: military                 - Count: 38
Word: authorities              - Count: 12
Word: train                    - Count: 42
Word: complicated              - Count: 6
Word: art                      - Count: 11
Word: solar                    - Count: 2
Word: waited                   - Count: 26
Word: answer                   - Count: 22
Word: tired                    - Count: 15
Word: waiting                  - Count: 53
Word: bemoaned                 - Count: 1
Word: project                  - Count: 7
Word: then                     - Count: 265
Word: gave                     - Count: 148
Word: convincing               - Count: 11
Word: proof                    - Count: 20
Word: back                     - Count: 172
Word: doubloons                - Count: 2
Word: left                     - Count: 169
Word: addition                 - Count: 7
Word: Portuguese               - Count: 2
Word: maps                     - Count: 5
Word: instruments              - Count: 11
Word: navigation               - Count: 4
Word: handwriting              - Count: 1
Word: concise                  - Count: 1
Word: synthesis                - Count: 2
Word: studies                  - Count: 9
Word: Monk                     - Count: 1
Word: Hermann                  - Count: 2
Word: astrolabe                - Count: 2
Word: compass                  - Count: 2
Word: sextant                  - Count: 1
Word: spent                    - Count: 51
Word: rainy                    - Count: 7
Word: season                   - Count: 1
Word: shut                     - Count: 32
Word: small                    - Count: 70
Word: rear                     - Count: 6
Word: disturb                  - Count: 5
Word: Having                   - Count: 77
Word: aban                     - Count: 1
Word: doned                    - Count: 1
Word: obligations              - Count: 1
Word: nights                   - Count: 28
Word: courtyard                - Count: 62
Word: watching                 - Count: 16
Word: course                   - Count: 25
Word: stars                    - Count: 4
Word: almost                   - Count: 73
Word: contracted               - Count: 4
Word: sunstroke                - Count: 2
Word: establish                - Count: 6
Word: exact                    - Count: 6
Word: method                   - Count: 6
Word: ascertain                - Count: 4
Word: noon                     - Count: 15
Word: became                   - Count: 83
Word: expert                   - Count: 7
Word: manipulation             - Count: 4
Word: instmments               - Count: 4
Word: notion                   - Count: 6
Word: space                    - Count: 13
Word: allowed                  - Count: 20
Word: navigate                 - Count: 1
Word: across                   - Count: 24
Word: unknown                  - Count: 18
Word: seas                     - Count: 4
Word: visit                    - Count: 30
Word: uninhabited              - Count: 1
Word: territories              - Count: 1
Word: relations                - Count: 3
Word: splendid                 - Count: 11
Word: beings                   - Count: 6
Word: leave                    - Count: 54
Word: study                    - Count: 8
Word: period                   - Count: 12
Word: acquired                 - Count: 9
Word: habit                    - Count: 20
Word: talking                  - Count: 14
Word: walking                  - Count: 20
Word: through                  - Count: 191
Word: paying                   - Count: 7
Word: attention                - Count: 43
Word: anyone                   - Count: 48
Word: children                 - Count: 112
Word: broke                    - Count: 32
Word: backs                    - Count: 2
Word: garden                   - Count: 25
Word: growing                  - Count: 7
Word: banana                   - Count: 50
Word: caladium                 - Count: 2
Word: cassava                  - Count: 3
Word: yams                     - Count: 2
Word: ahuyama                  - Count: 1
Word: roots                    - Count: 4
Word: eggplants                - Count: 1
Word: Suddenly                 - Count: 29
Word: warning                  - Count: 7
Word: feverish                 - Count: 7
Word: activity                 - Count: 8
Word: intermpted               - Count: 7
Word: replaced                 - Count: 9
Word: kind                     - Count: 30
Word: fascination              - Count: 8
Word: days                     - Count: 137
Word: if                       - Count: 224
Word: bewitched                - Count: 2
Word: softly                   - Count: 3
Word: repeating                - Count: 5
Word: string                   - Count: 16
Word: fearful                  - Count: 12
Word: conjectures              - Count: 1
Word: giving                   - Count: 23
Word: credit                   - Count: 2
Word: understanding            - Count: 12
Word: Tuesday                  - Count: 15
Word: December                 - Count: 7
Word: lunchtime                - Count: 5
Word: once                     - Count: 77
Word: released                 - Count: 3
Word: whole                    - Count: 60
Word: weight                   - Count: 23
Word: torment                  - Count: 7
Word: rest                     - Count: 49
Word: lives                    - Count: 9
Word: august                   - Count: 10
Word: solemnity                - Count: 9
Word: devastated               - Count: 3
Word: prolonged                - Count: 20
Word: vigil                    - Count: 4
